trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
0,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,ideal,1.0,19,361,8,0.75,271,45.125,45.125,scale_g19_r8_hipc_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,112,104,8,120,0,0,0,0,257,1790,0,113,144,233,24,49,24,0.0,2.1416666666666666,6.125,0.21428571428571427,3.0,0.2,clue:8;collision_intent:112;hipc_entry:24;state:112;target:1,14,33,0.0,completed
1,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,ideal,1.0,19,361,8,0.75,271,45.125,45.125,scale_g19_r8_hipc_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,301,29,272,235,74,1,7,5,1197,8370,0,311,886,620,577,1137,577,0.0,5.093617021276596,4.180147058823529,1.9169435215946844,2.1213235294117645,2.4553191489361703,clue:8;collision_intent:310;hipc_entry:577;state:301;target:1,39,181,0.11755319148936172,completed
2,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,ideal,1.0,19,361,8,0.75,271,45.125,45.125,scale_g19_r8_hipc_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,76,16,60,64,20,1,4,4,323,2254,0,82,241,174,149,291,149,0.0,5.046875,4.85,1.9605263157894737,2.4833333333333334,2.328125,clue:16;collision_intent:81;hipc_clear_bundle:1;hipc_entry:148;state:76;target:1,10,45,0.125,completed
3,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,ideal,1.0,19,361,8,0.75,271,45.125,45.125,scale_g19_r8_hipc_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,182,102,80,182,8,1,2,2,596,4166,0,185,411,383,213,391,213,0.0,3.2747252747252746,4.8875,1.1703296703296704,2.6625,1.1703296703296704,clue:16;collision_intent:184;hipc_entry:213;state:182;target:1,23,82,0.03434065934065944,completed
4,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,ideal,1.0,19,361,8,0.75,271,45.125,45.125,scale_g19_r8_hipc_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,245,145,100,233,20,1,0,0,747,5223,0,246,501,507,240,454,240,0.0,3.2060085836909873,4.54,0.9795918367346939,2.4,1.0300429184549356,clue:16;collision_intent:245;hipc_clear_bundle:1;hipc_entry:239;state:245;target:1,31,103,0.055257510729613823,completed
5,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,ideal,1.0,19,361,8,0.75,271,45.125,45.125,scale_g19_r8_hipc_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,284,59,225,245,47,12,4,3,1140,7972,0,290,850,606,534,1022,534,0.0,4.653061224489796,4.542222222222223,1.880281690140845,2.3733333333333335,2.179591836734694,clue:32;collision_intent:289;hipc_clear_bundle:1;hipc_entry:533;state:284;target:1,37,156,0.08520408163265314,completed
6,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,ideal,1.0,19,361,8,0.75,271,45.125,45.125,scale_g19_r8_hipc_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,325,114,211,284,49,5,4,4,1153,8063,0,330,823,679,474,925,474,0.0,4.059859154929577,4.38388625592417,1.4584615384615385,2.2464454976303316,1.6690140845070423,clue:24;collision_intent:329;hipc_clear_bundle:2;hipc_entry:472;state:325;target:1,42,153,0.051056338028169,completed
7,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,ideal,1.0,19,361,8,0.75,271,45.125,45.125,scale_g19_r8_hipc_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,142,61,81,139,11,0,1,1,500,3492,0,146,354,304,196,376,196,0.0,3.597122302158273,4.6419753086419755,1.380281690140845,2.419753086419753,1.410071942446043,clue:16;collision_intent:145;hipc_clear_bundle:2;hipc_entry:194;state:142;target:1,19,73,0.04766187050359716,completed
8,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,ideal,1.0,19,361,8,0.75,271,45.125,45.125,scale_g19_r8_hipc_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,328,97,231,279,57,2,13,10,1209,8459,0,344,865,688,521,1015,521,0.0,4.333333333333333,4.393939393939394,1.5884146341463414,2.2554112554112553,1.8673835125448028,clue:16;collision_intent:343;hipc_clear_bundle:3;hipc_entry:518;state:328;target:1,42,171,0.0757168458781361,completed
9,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,ideal,1.0,19,361,8,0.75,271,45.125,45.125,scale_g19_r8_hipc_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,168,100,68,174,2,0,0,0,537,3749,0,169,368,353,184,337,184,0.0,3.086206896551724,4.955882352941177,1.0952380952380953,2.7058823529411766,1.0574712643678161,clue:16;collision_intent:168;hipc_entry:184;state:168;target:1,22,73,0.02011494252873569,completed
