trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,top_k_rate,top_k_max_cells,max_candidate_cells,condition_id,scenario_file,host_trial_runtime_ms,robot_id,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,allocator_time_pct,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,allocator_host_runtime_pct,trial_status
0,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,11456.871247,00,35,2483.406469,70.95447054285714,107.521358,149.623679,173.248074,2480.869477,70.88198505714286,107.499887,149.385736,172.96882,21.676131427681742,19,2.5369919999999997,0.1335258947368421,0.119547,0.279254,0.279254,21.676131427681742,completed
0,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,11456.871247,01,37,2873.003878,77.64875345945946,109.11941,201.437234,258.454011,2870.677729000001,77.58588456756759,109.095539,201.325654,258.298305,25.076688181795717,21,2.326149,0.110769,0.090045,0.254487,0.264886,25.076688181795717,completed
0,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,11456.871247,02,39,2839.716502,72.81324364102565,121.992145,161.430088,167.050196,2837.011163,72.74387597435897,121.970226,161.269102,166.820412,24.786143099439865,20,2.705339,0.13526695,0.130475,0.234295,0.26863,24.786143099439865,completed
0,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,11456.871247,03,42,3168.713538,75.44556042857143,112.341705,159.396335,185.605918,3165.667159,75.3730275952381,112.30687449999999,159.10169,185.378599,27.657756377682368,24,3.0463790000000004,0.12693245833333336,0.1208915,0.251446,0.294645,27.657756377682368,completed
1,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,19988.925977,00,57,4975.875929000001,87.29606892982457,89.828207,191.372709,237.645272,4973.1106549999995,87.24755535087718,89.820943,191.364933,237.509981,24.8931630179902,39,2.7652740000000002,0.07090446153846154,0.034271,0.257814,0.262038,24.8931630179902,completed
1,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,19988.925977,01,41,2733.345468,66.66696263414634,69.19403,189.386309,242.066574,2730.979159,66.6092477804878,69.186382,189.272234,241.851286,13.674298814979299,21,2.3663090000000007,0.11268138095238098,0.1071,0.254934,0.256886,13.674298814979299,completed
1,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,19988.925977,02,70,6758.62664,96.55180914285715,107.843098,166.315614,230.07027,6755.009206999999,96.50013152857142,107.81330700000001,166.1577,230.042815,33.81185486292124,58,3.6174329999999992,0.06236953448275861,0.029310999999999997,0.227127,0.260854,33.81185486292124,completed
1,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,19988.925977,03,66,5369.841087999999,81.36122860606059,90.3508425,152.968044,181.308376,5367.414908999999,81.3244683181818,90.3428435,152.711478,181.279482,26.864080112051735,47,2.4261789999999994,0.05162082978723403,0.022911,0.190041,0.256566,26.864080112051735,completed
2,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,17402.270729,00,62,5891.720456999999,95.02774930645161,121.0079835,190.693892,300.366187,5888.718359000002,94.97932837096778,120.9752645,190.454413,300.33614,33.856044126366484,43,3.0020980000000006,0.06981623255813955,0.034591,0.20908,0.260279,33.856044126366484,completed
2,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,17402.270729,01,58,5823.670868,100.4081184137931,119.5970255,187.14258,199.262857,5819.598187,100.33789977586206,119.52648400000001,187.093014,199.124974,33.465005565596385,45,4.072680999999999,0.0905040222222222,0.077629,0.195064,0.263734,33.465005565596385,completed
