trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
19,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,1,3,"(5,3);(2,4);(1,6);(6,0)",00,6,0,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(1,3);01:(2,5);02:(9,0);03:(9,5)",00:1;01:1;02:0;03:0,00,completed
55,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,10,16,"(12,7);(8,11);(11,7);(10,17)",01,11,7,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(8,11);01:(12,17);02:(9,13);03:(10,16)",00:1;01:2;02:1;03:0,03,completed
91,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,2,12,"(2,14);(3,8);(4,12);(17,3)",,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(1,0);01:(0,7);02:(2,12);03:(0,17)",00:0;01:0;02:0;03:0,02,completed
127,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,1,14,"(1,9);(13,2);(1,13);(18,18)",02,1,13,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,3);01:(1,10);02:(1,14);03:(2,15)",00:0;01:1;02:1;03:0,02,completed
163,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,17,10,"(9,11);(0,8);(16,6);(16,14)",01,0,8,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(12,13);01:(14,10);02:(16,11);03:(17,10)",00:0;01:1;02:1;03:0,03,completed
199,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,8,5,"(2,2);(8,12);(7,10);(6,0)",00,6,0,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(9,2);01:(3,5);02:(8,5);03:(7,6)",00:1;01:0;02:0;03:1,02,completed
235,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,17,5,"(14,2);(10,8);(18,9);(2,13)",01,10,8,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,16);01:(5,17);02:(17,5);03:(4,18)",00:1;01:2;02:1;03:0,02,completed
271,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,0,1,"(0,4);(1,12);(12,0);(6,9)",02,1,12,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,5);01:(0,1);02:(3,2);03:(8,3)",00:1;01:2;02:2;03:0,01,completed
307,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,5,8,"(5,6);(17,5);(14,4);(6,14)",,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(4,1);01:(5,8);02:(4,13);03:(7,16)",00:0;01:0;02:0;03:0,01,completed
343,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,1,3,"(4,0);(17,1);(18,5);(7,6)",00,4,0,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(1,3);01:(0,1);02:(5,5);03:(0,2)",00:1;01:0;02:0;03:0,00,completed
379,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,11,13,"(11,2);(7,18);(2,11);(16,0)",00,16,0,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(8,11);01:(2,3);02:(11,13);03:(3,1)",00:1;01:1;02:0;03:0,02,completed
415,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,8,7,"(13,6);(4,17);(8,3);(5,5)",,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(9,0);01:(8,7);02:(9,12);03:(5,15)",00:0;01:0;02:0;03:0,01,completed
451,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,6,8,"(0,17);(15,17);(5,8);(5,10)",03,0,17,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(7,10);01:(6,8);02:(9,13);03:(9,12)",00:1;01:1;02:1;03:1,01,completed
487,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,11,9,"(15,8);(8,13);(18,16);(10,11)",03,18,16,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(7,9);01:(3,9);02:(3,13);03:(11,9)",00:0;01:1;02:1;03:1,03,completed
