trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
3,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,7,4,"(8,6);(17,14);(17,10);(16,7)",01,16,7,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(2,6);01:(7,4);02:(16,16);03:(9,3)",00:1;01:2;02:2;03:1,01,completed
39,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,8,16,"(14,2);(14,15);(3,17);(9,11)",03,14,15,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(3,9);01:(3,8);02:(8,16);03:(9,13)",00:0;01:1;02:0;03:2,02,completed
75,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,10,10,"(15,9);(10,7);(14,6);(7,16)",01,10,7,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(10,2);01:(9,9);02:(13,7);03:(10,10)",00:0;01:1;02:0;03:0,03,completed
111,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,1,16,"(14,14);(2,12);(7,7);(3,10)",02,2,12,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(1,16);01:(2,17);02:(4,18);03:(6,17)",00:1;01:2;02:2;03:0,00,completed
147,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,10,13,"(10,6);(16,10);(13,15);(12,18)",03,13,15,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(9,1);01:(5,14);02:(10,13);03:(5,18)",00:0;01:0;02:1;03:1,02,completed
183,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,8,2,"(5,1);(11,4);(6,11);(1,18)",00,5,1,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(8,4);01:(11,1);02:(8,2);03:(14,2)",00:1;01:1;02:0;03:0,02,completed
219,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,10,1,"(17,2);(11,1);(9,1);(13,8)",01,13,8,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(6,2);01:(16,6);02:(9,3);03:(10,1)",00:1;01:1;02:0;03:0,03,completed
255,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,7,14,"(11,14);(7,9);(17,18);(7,13)",02,7,13,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(6,7);01:(9,6);02:(7,14);03:(4,13)",00:0;01:1;02:1;03:0,02,completed
291,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,8,9,"(4,10);(17,9);(18,15);(6,9)",03,18,15,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(13,11);01:(4,13);02:(8,9);03:(14,10)",00:0;01:1;02:0;03:1,02,completed
327,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,9,13,"(13,12);(8,11);(9,11);(9,9)",02,13,12,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(6,8);01:(11,9);02:(9,13);03:(5,10)",00:0;01:0;02:1;03:3,02,completed
