trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
0,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.5,392,196.0,196.0,scale_g28_r4_cbaa_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,2,20,"(23,15);(21,22);(1,21);(0,2)",00,0,2,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(2,2);01:(0,16);02:(1,23);03:(2,20)",00:1;01:0;02:0;03:1,03,completed
1,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.5,392,196.0,196.0,scale_g28_r4_cbaa_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,13,15,"(11,21);(17,17);(6,23);(20,18)",02,20,18,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(12,16);01:(14,16);02:(13,15);03:(21,5)",00:0;01:1;02:1;03:0,02,completed
2,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.5,392,196.0,196.0,scale_g28_r4_cbaa_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,10,19,"(4,23);(8,7);(11,3);(8,23)",,,,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(11,1);01:(11,10);02:(10,19);03:(16,21)",00:0;01:0;02:0;03:0,02,completed
3,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.5,392,196.0,196.0,scale_g28_r4_cbaa_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,13,25,"(12,21);(7,25);(20,15);(16,26)",03,12,21,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(12,8);01:(12,16);02:(13,25);03:(14,20)",00:0;01:0;02:0;03:1,02,completed
4,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.5,392,196.0,196.0,scale_g28_r4_cbaa_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,8,12,"(1,11);(13,10);(8,10);(12,24)",01,13,10,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(9,10);01:(8,12);02:(6,10);03:(9,21)",00:0;01:1;02:0;03:0,01,completed
5,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.5,392,196.0,196.0,scale_g28_r4_cbaa_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,24,18,"(25,1);(1,18);(16,11);(25,21)",02,1,18,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(15,21);01:(24,18);02:(25,15);03:(21,17)",00:0;01:0;02:2;03:0,01,completed
6,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.5,392,196.0,196.0,scale_g28_r4_cbaa_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,21,1,"(20,1);(10,23);(24,21);(24,5)",,,,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(21,1);01:(21,10);02:(21,19);03:(26,21)",00:0;01:0;02:0;03:0,00,completed
7,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.5,392,196.0,196.0,scale_g28_r4_cbaa_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,22,2,"(19,15);(5,7);(19,1);(27,27)",03,27,27,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(22,2);01:(11,2);02:(16,2);03:(20,2)",00:0;01:1;02:1;03:2,00,completed
8,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.5,392,196.0,196.0,scale_g28_r4_cbaa_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,10,9,"(4,10);(4,13);(21,10);(15,5)",,,,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(9,0);01:(10,9);02:(9,18);03:(10,27)",00:0;01:0;02:0;03:0,01,completed
9,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.5,392,196.0,196.0,scale_g28_r4_cbaa_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,24,25,"(24,21);(17,6);(6,1);(27,23)",03,27,23,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(19,8);01:(27,19);02:(24,25);03:(25,24)",00:0;01:0;02:1;03:1,02,completed
