capture_batch,source_path,source_file_sha256,source_line,source_column_count,structural_repair,source_row_sha256,robot_id,target_location,alg,top_k_rate,top_k_max_cells,drop_rate,config_sequence,trial_mode,commitment_horizon,logic_revision,scenario_sha256,steps,msgs_sent,msgs_received,1_rec,1_sent,2_rec,2_sent,3_rec,3_sent,4_rec,4_sent,5_rec,5_sent,bytes_sent,bytes_received,motor_time_ms,trial_time_ms,cpu_util_pct,mem_used_peak,mem_free_min,candidate_filter_calls,candidate_filter_time_us_total,candidate_filter_time_us_mean,candidate_filter_time_us_max,allocator_solve_time_us_total,allocator_calls,allocator_time_us_total,allocator_time_us_mean,allocator_time_us_max,allocator_time_pct,mean_step_time_ms,task_cell_replans,path_replans,collision_prevention_events
initial_recovery,Robots/robot_00/metrics/onboard/metrics-log-CBAA.txt,7E0C4D24F6FF4C77213AA041825F55195315715A85220BBD124E584C31C89FB4,2,45,none,50ED852D1595B8506FB4065D888D05A10CA71E0E50735F8BEAEE234FE69CFC3B,00,5/9,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,14,53,140,35,14,40,15,61,23,3,1,1,0,899,2732,13830,28579,33,226960,2608,3,889673,296557.7,297852,75096,3,1581942,527314.0,533597,5.53533,2041.357,1,0,0
initial_recovery,Robots/robot_00/metrics/onboard/metrics-log-CBAA.txt,7E0C4D24F6FF4C77213AA041825F55195315715A85220BBD124E584C31C89FB4,3,45,none,7CAE8650DC57ED12F8A8CE0DDBBC50B904892671CCC7530D58AC36DF31BA31BD,00,7/2,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,11,42,143,35,11,38,11,64,17,6,2,0,1,655,2716,11478,28736,44,205984,23584,4,977955,244488.8,245913,101879,4,1892552,473138.0,475310,6.585997,2612.364,0,0,0
initial_recovery,Robots/robot_00/metrics/onboard/metrics-log-CBAA.txt,7E0C4D24F6FF4C77213AA041825F55195315715A85220BBD124E584C31C89FB4,4,46,merge_unquoted_target_location,7FF3B276F80149D7141812762A7E7F9775C54DFE3EDB7AFCDFF28B25FBA182E3,00,"(-1, -1)",CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,19,98,230,39,19,49,20,128,54,14,5,0,0,2073,5363,19233,48898,44,226624,2944,8,2693338,336667.3,344951,202842,8,4563603,570450.4,587787,9.332903,2573.579,2,0,0
initial_recovery,Robots/robot_00/metrics/onboard/metrics-log-CBAA.txt,7E0C4D24F6FF4C77213AA041825F55195315715A85220BBD124E584C31C89FB4,5,45,none,ACDE4B3BD6917720C1D6D40489BBC083DA70E3C849B2C24859E80F63DA50CA5D,00,3/11,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,11,45,112,25,11,33,12,50,21,3,1,1,0,782,2242,11832,24773,32,226448,3120,3,1010330,336776.7,337939,75914,3,1701273,567091.0,569826,6.867448,2252.091,1,0,0
initial_recovery,Robots/robot_00/metrics/onboard/metrics-log-CBAA.txt,7E0C4D24F6FF4C77213AA041825F55195315715A85220BBD124E584C31C89FB4,6,45,none,BC061F36DFC222F0FF5CC692BEE30CA41B8C76EF11A40F06E4F6373769038972,00,5/4,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,77,170,506,228,77,232,77,40,13,6,2,0,1,1696,6640,78981,141403,24,229216,352,4,739129,184782.3,187728,98282,4,1650400,412600.0,416920,1.167161,1836.403,0,0,0
initial_recovery,Robots/robot_00/metrics/onboard/metrics-log-CBAA.txt,7E0C4D24F6FF4C77213AA041825F55195315715A85220BBD124E584C31C89FB4,7,45,none,AC4DADC0D38D7B360EDD96274A84285072A9DB1C520A5CCFF3FD55A19DED815C,00,1/15,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,10,40,97,22,10,25,11,43,17,6,2,1,0,664,1814,10564,24993,41,227888,1680,4,1275281,318820.3,322461,99517,4,2182811,545702.8,548371,8.733689,2499.3,2,0,0
initial_recovery,Robots/robot_00/metrics/onboard/metrics-log-CBAA.txt,7E0C4D24F6FF4C77213AA041825F55195315715A85220BBD124E584C31C89FB4,8,45,none,BB09DFBE193D016358F8075E1031273AA0B53E7382E5C6781E566981A1AF94EF,00,13/16,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,24,67,197,68,24,71,25,54,17,3,1,1,0,962,3396,24341,49252,31,227664,1904,5,1826241,365248.2,368127,126172,5,2976490,595298.0,598238,6.043389,2052.167,3,0,0
initial_recovery,Robots/robot_01/metrics/onboard/metrics-log-CBAA.txt,B9C2A751D568B800891908E6C7FBA77F3C2DD9D9767A139402B6A534EC015663,2,45,none,47DF6970471F908E3F95A8ECC84D3C79DE0F7EF2FAA09DB04E6F2ACA8EED9AFA,01,5/9,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,11,43,149,38,11,42,12,65,19,3,1,1,0,729,2910,13678,28796,35,226496,3072,3,917384,305794.7,309093,75081,3,1607017,535672.3,536702,5.580695,2617.818,0,0,0
initial_recovery,Robots/robot_01/metrics/onboard/metrics-log-CBAA.txt,B9C2A751D568B800891908E6C7FBA77F3C2DD9D9767A139402B6A534EC015663,3,45,none,77F07FEBB914B54885B2C4E6A8D313FD75E3DF4C280F04F9DEAFD0FB9F0B12C3,01,7/2,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,11,46,139,35,11,37,12,60,21,6,2,1,0,764,2599,12414,29187,38,226736,2832,4,982614,245653.5,249457,101820,4,1905884,476471.0,479619,6.529907,2653.364,2,0,0
initial_recovery,Robots/robot_01/metrics/onboard/metrics-log-CBAA.txt,B9C2A751D568B800891908E6C7FBA77F3C2DD9D9767A139402B6A534EC015663,4,46,merge_unquoted_target_location,44E552779D3B0BDBDB75D9E860D05B2D77866B3A715A03BE3E1DFC5A7BA78E91,01,"(-1, -1)",CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,16,88,243,43,16,52,17,134,50,14,5,0,0,1933,5615,18878,49433,44,227248,2320,10,3436976,343697.6,352814,256951,10,5778086,577808.6,583332,11.68872,3089.563,1,0,0
initial_recovery,Robots/robot_01/metrics/onboard/metrics-log-CBAA.txt,B9C2A751D568B800891908E6C7FBA77F3C2DD9D9767A139402B6A534EC015663,5,45,none,0F52201EFA4BC701DAD93309C3D7901047D3DE9A54E8B1FE25C95E1B93DFDC5F,01,3/11,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,10,42,115,27,9,35,10,50,21,3,1,0,1,795,2235,11224,24598,36,223088,6400,3,1041305,347101.7,349189,75211,3,1736665,578888.3,584685,7.060188,2459.8,0,0,0
initial_recovery,Robots/robot_01/metrics/onboard/metrics-log-CBAA.txt,B9C2A751D568B800891908E6C7FBA77F3C2DD9D9767A139402B6A534EC015663,6,45,none,CD877B4982C3FE0B015C5E0032A49C434215B2C9AA45EEDE2EC1482E0206B7F2,01,5/4,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,76,169,508,230,76,231,78,40,13,6,2,1,0,1719,6628,80227,141869,24,228896,672,0,0,0.0,0,0,0,0,0.0,0,0.0,1866.697,0,1,1
initial_recovery,Robots/robot_01/metrics/onboard/metrics-log-CBAA.txt,B9C2A751D568B800891908E6C7FBA77F3C2DD9D9767A139402B6A534EC015663,7,45,none,BCFC5C1C7E00D0B512744A55CE37A68EB6D6390B40FEAE2B6586C94E08C44EAB,01,1/15,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,9,40,97,23,9,26,10,41,19,6,2,1,0,692,1786,11224,25015,36,227664,1904,3,964756,321585.3,328532,73857,3,1645075,548358.3,554971,6.576355,2779.444,2,0,0
initial_recovery,Robots/robot_01/metrics/onboard/metrics-log-CBAA.txt,B9C2A751D568B800891908E6C7FBA77F3C2DD9D9767A139402B6A534EC015663,8,45,none,D247520858217E0C1A2C7B21D777296678243DFB83E41DCC260C8517AF5CE323,01,13/16,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,23,70,194,69,23,72,24,49,22,3,1,1,0,1087,3265,24307,49547,32,228800,768,3,1139591,379863.7,381148,73336,3,1820150,606716.7,608841,3.673583,2154.217,1,0,0
initial_recovery,Robots/robot_02/metrics/onboard/metrics-log-CBAA.txt,76258CF29D1B6D65EBDE97F1CF6206D7C7812EEE6A6A5D59D988F9B5AF6D1A6D,2,45,none,35FF639115992D3971B7BF25FD3ECD999A088FC34190F327AEF05902B1DFE5D4,02,5/9,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,11,45,147,38,11,40,14,65,19,3,1,1,0,794,2841,13123,28765,37,228464,1104,4,1260948,315237.0,319876,104494,4,2185527,546381.8,554672,7.597869,2615.0,1,3,1
initial_recovery,Robots/robot_02/metrics/onboard/metrics-log-CBAA.txt,76258CF29D1B6D65EBDE97F1CF6206D7C7812EEE6A6A5D59D988F9B5AF6D1A6D,3,45,none,3B67E1084F2C91514C6D1537306E4370889018DAA32C7222B87761E648755E96,02,7/2,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,13,51,134,33,13,35,14,59,22,6,2,1,0,848,2505,14623,28990,31,223744,5824,2,487478,243739.0,243755,47588,2,949183,474591.5,478830,3.274174,2230.0,0,0,0
initial_recovery,Robots/robot_02/metrics/onboard/metrics-log-CBAA.txt,76258CF29D1B6D65EBDE97F1CF6206D7C7812EEE6A6A5D59D988F9B5AF6D1A6D,4,45,none,7B9C8685B0C53C8E894E18769C11B3AB7FFA0F3A979706B51BE872E78BBCA2E3,02,3/11,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,8,36,121,28,8,33,12,56,15,3,1,1,0,620,2422,9761,24511,33,221184,8384,2,725174,362587.0,364777,49574,2,1179571,589785.5,590915,4.812415,3063.875,0,3,1
initial_recovery,Robots/robot_02/metrics/onboard/metrics-log-CBAA.txt,76258CF29D1B6D65EBDE97F1CF6206D7C7812EEE6A6A5D59D988F9B5AF6D1A6D,5,45,none,51F037AE23FC89FF90D58DD1AFB36CC005EF2F395DAB59F49E6D0AABFB4FE694,02,5/4,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,78,174,507,228,78,231,79,41,15,6,2,1,0,2054,6402,85694,143299,19,229120,448,1,182859,182859.0,182859,23736,1,417408,417408.0,417408,0.2912847,1837.167,0,0,0
initial_recovery,Robots/robot_02/metrics/onboard/metrics-log-CBAA.txt,76258CF29D1B6D65EBDE97F1CF6206D7C7812EEE6A6A5D59D988F9B5AF6D1A6D,6,45,none,27234C8C30C27F5139894D7023CFCD24E1E53912655F23F0FD5062132E219409,02,1/15,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,10,40,97,22,10,25,11,43,17,6,2,1,0,659,1819,11651,25160,35,225840,3728,3,971841,323947.0,339282,74496,3,1655152,551717.3,565235,6.578506,2516.0,0,0,0
initial_recovery,Robots/robot_02/metrics/onboard/metrics-log-CBAA.txt,76258CF29D1B6D65EBDE97F1CF6206D7C7812EEE6A6A5D59D988F9B5AF6D1A6D,7,45,none,183C2A984F3E6BACD88F654A2DAC2F2F811CD16D6A0F58F49B9DE3140FD5AA46,02,13/16,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,23,66,198,69,23,72,24,53,18,3,1,1,0,1034,3326,25584,49558,28,229216,352,4,1565934,391483.5,394812,99857,4,2495928,623982.0,630520,5.036377,2154.696,0,0,0
initial_recovery,Robots/robot_03/metrics/onboard/metrics-log-CBAA.txt,D561DB79918780B26F3FE24043CD23C0BE38C0757D38768779A35DF412A3230C,2,45,none,0CB46076D8EAE20C5E9CFD6668D2F14E370B5C991873B8649991F630390BD2A7,03,5/9,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,14,52,135,36,13,40,14,56,23,3,1,0,1,929,2555,14732,28620,29,229104,464,2,622374,311187.0,312110,48447,2,1085435,542717.5,544391,3.792575,2044.286,1,0,0
initial_recovery,Robots/robot_03/metrics/onboard/metrics-log-CBAA.txt,D561DB79918780B26F3FE24043CD23C0BE38C0757D38768779A35DF412A3230C,3,45,none,49A38B3C392B3609BB925A564DB1D4AFEED98DAF9D6A3EA0BE7C5751C6557838,03,7/2,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,11,46,139,35,11,37,12,60,21,6,2,1,0,818,2545,12999,29073,37,222064,7504,4,972423,243105.8,245391,101288,4,1898293,474573.3,476979,6.529402,2643.0,2,0,0
initial_recovery,Robots/robot_03/metrics/onboard/metrics-log-CBAA.txt,D561DB79918780B26F3FE24043CD23C0BE38C0757D38768779A35DF412A3230C,4,46,merge_unquoted_target_location,2C9F424D00617EA864EBC9AC5CA3C4A3CC317BE53C05D3669CA23AD40058B1AF,03,"(-1, -1)",CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,14,85,242,44,14,51,18,133,48,14,5,0,0,1874,5546,17046,49535,51,225472,4096,8,2775323,346915.4,363638,209106,8,4657835,582229.4,598101,9.403119,3538.214,2,3,2
initial_recovery,Robots/robot_03/metrics/onboard/metrics-log-CBAA.txt,D561DB79918780B26F3FE24043CD23C0BE38C0757D38768779A35DF412A3230C,5,45,none,EDAC9B848DE5EE3651F6E44192EDE5D50EF8B4701D4F13CFF3F3F10B12236E69,03,3/11,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,8,34,123,28,8,34,11,57,14,3,1,1,0,603,2443,10493,24633,41,222160,7408,3,1095103,365034.3,368685,76390,3,1780037,593345.7,594202,7.226229,3079.125,1,2,1
initial_recovery,Robots/robot_03/metrics/onboard/metrics-log-CBAA.txt,D561DB79918780B26F3FE24043CD23C0BE38C0757D38768779A35DF412A3230C,6,45,none,96E393C1577A3220E1743625A2679899AE451F7BB94F428C7504535C277A64B8,03,5/4,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,75,168,509,231,75,233,76,38,15,6,2,1,0,1973,6376,81644,142006,22,229184,384,3,571074,190358.0,191157,73397,3,1260822,420274.0,424397,0.8878653,1893.413,2,0,0
initial_recovery,Robots/robot_03/metrics/onboard/metrics-log-CBAA.txt,D561DB79918780B26F3FE24043CD23C0BE38C0757D38768779A35DF412A3230C,7,45,none,B3264F9F3FF1F0967A051D074A831EB3709C952AEF800A56B263CF59B6CD567D,03,1/15,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,4,17,120,29,3,32,4,53,7,6,2,0,1,269,2255,18416,24989,17,213648,15840,1,302617,302617.0,302617,23746,1,537654,537654.0,537654,2.151563,6247.25,0,0,0
initial_recovery,Robots/robot_03/metrics/onboard/metrics-log-CBAA.txt,D561DB79918780B26F3FE24043CD23C0BE38C0757D38768779A35DF412A3230C,8,45,none,F2269C7E6F137986B616CE8AE738BF6721C70895DE36AAADCA0705C65AE4F23B,03,13/16,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,23,61,201,70,22,72,23,56,14,3,1,0,1,881,3430,25199,48951,29,222384,7104,3,1170818,390272.7,394893,74054,3,1853151,617717.0,620772,3.785727,2128.304,0,0,0
