trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
22,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.5,181,,,acbba_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,150,5,145,134,20,6,5,3,1653,4956,0,158,1495,316,1337,1642,1337,0.0,12.335820895522389,11.324137931034484,8.913333333333334,9.220689655172414,9.977611940298507,acbba_entry:1337;clue:8;collision_intent:157;state:150;target:1,38,427,0.00746268656716409,completed
58,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.5,181,,,acbba_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,95,90,5,98,1,0,0,0,221,660,0,96,125,195,26,41,26,0.0,2.2551020408163267,8.2,0.2736842105263158,5.2,0.2653061224489796,acbba_entry:26;clue:4;collision_intent:95;state:95;target:1,24,64,0.010204081632652962,completed
94,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.5,181,,,acbba_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,289,41,248,266,27,5,3,3,3015,9042,0,294,2721,595,2420,2932,2420,0.0,11.334586466165414,11.82258064516129,8.373702422145328,9.758064516129032,9.097744360902256,acbba_entry:2420;clue:12;collision_intent:293;state:289;target:1,74,768,0.04511278195488733,completed
130,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.5,181,,,acbba_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,79,35,44,79,4,0,1,1,557,1668,0,83,474,174,383,487,383,0.0,7.050632911392405,11.068181818181818,4.848101265822785,8.704545454545455,4.848101265822785,acbba_entry:383;clue:12;collision_intent:82;state:79;target:1,20,143,0.009493670886076,completed
166,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.5,181,,,acbba_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,186,26,160,184,6,1,0,0,1945,5833,0,187,1758,381,1564,1893,1564,0.0,10.570652173913043,11.83125,8.408602150537634,9.775,8.5,acbba_entry:1564;clue:8;collision_intent:186;state:186;target:1,47,498,0.008152173913043459,completed
202,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.5,181,,,acbba_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,136,136,0,140,0,0,0,0,273,816,0,137,136,273,0,0,0,0.0,1.95,0.0,0.0,0.0,0.0,collision_intent:136;state:136;target:1,34,69,0.0,completed
238,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.5,181,,,acbba_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,113,51,62,112,5,0,0,0,766,2296,0,114,652,231,535,664,535,0.0,6.839285714285714,10.709677419354838,4.734513274336283,8.629032258064516,4.776785714285714,acbba_entry:535;clue:4;collision_intent:113;state:113;target:1,29,199,0.022321428571428603,completed
274,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.5,181,,,acbba_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,122,79,43,124,2,0,1,1,665,1992,0,125,540,255,410,506,410,0.0,5.362903225806452,11.767441860465116,3.360655737704918,9.534883720930232,3.306451612903226,acbba_entry:410;clue:8;collision_intent:124;state:122;target:1,31,171,0.012096774193548487,completed
310,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.5,181,,,acbba_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,159,70,89,156,7,1,1,1,1162,3480,0,162,1000,329,833,1022,833,0.0,7.448717948717949,11.48314606741573,5.238993710691824,9.359550561797754,5.339743589743589,acbba_entry:833;clue:8;collision_intent:161;state:159;target:1,40,301,0.01602564102564097,completed
346,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.5,181,,,acbba_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,136,34,102,136,4,2,0,0,1345,4033,0,137,1208,285,1060,1277,1060,0.0,9.889705882352942,12.519607843137255,7.794117647058823,10.392156862745098,7.794117647058823,acbba_entry:1060;clue:12;collision_intent:136;state:136;target:1,34,344,0.018382352941176405,completed
